Solvent,Solute,Temp,Ref. Solv,Ref. Solub,Ref. Temp,Input Hsub298,Input Cpg298,Input Cps298,Error Message,Warning Message,logST (method1) [log10(mol/L)],logST (method2) [log10(mol/L)],dGsolvT [kcal/mol],dHsolvT [kcal/mol],dSsolvT [cal/K/mol],Pred. Hsub298 [kcal/mol],Pred. Cpg298 [cal/K/mol],Pred. Cps298 [cal/K/mol],logS298 [log10(mol/L)],uncertainty logS298 [log10(mol/L)],dGsolv298 [kcal/mol],uncertainty dGsolv298 [kcal/mol],dHsolv298 [kcal/mol],uncertainty dHsolv298 [kcal/mol],E,S,A,B,L,V
CC1=CC=CC=C1,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,298,,,,,,,,,-0.6557023590136435,-0.6557023590136435,-15.765738719101728,-22.695290580565352,-0.023253529736455114,39.43546793326223,73.16504371032393,78.70830502780706,-0.6557023590136435,1.0563293529554059,-15.77,0.08,-22.69,0.35,1.6420,2.2662,0.5640,0.8929,10.5288,1.9779
CC#N,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,298,,,,,,,,,0.6162380577343711,0.6162380577343711,-17.500322630419603,-25.4939954901865,-0.02682440556968757,39.43546793326223,73.16504371032393,78.70830502780706,0.6162380577343711,1.164598867575534,-17.50,0.19,-25.49,0.50,1.6420,2.2662,0.5640,0.8929,10.5288,1.9779
CC#N,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,298,CCCCC,-2.0,298.0,,,,,,1.2435774449529244,1.2435774449529244,-17.500322630419603,-25.4939954901865,-0.02682440556968757,39.43546793326223,73.16504371032393,78.70830502780706,1.2435774449529244,0.5338239754205011,-17.50,0.19,-25.49,0.50,1.6420,2.2662,0.5640,0.8929,10.5288,1.9779
CC(=O)O,C(CCC(=O)O)CC(=O)O,200,CC(=O)O,-0.45625,298.0,,,,,The input temperature is too low. The prediction may not be reliable,-2.732589849517456,-1.2505905163689564,-19.098379764362576,-34.24073672485652,-0.0756876318958497,32.22328984166034,43.0029395083482,50.269683187180256,-0.4562500000000007,0.5104463064087301,-13.56,0.12,-25.89,1.07,0.4316,1.4661,1.1228,0.7821,5.1655,1.1028
CC(=O)O,C(CCC(=O)O)CC(=O)O,383,CC(=O)O,-0.45625,298.0,,,,,,0.5747559530504798,0.9050579647808983,-10.703043525402983,-21.41943603225107,-0.027980137093598145,32.22328984166034,43.0029395083482,50.269683187180256,-0.4562500000000007,0.5104463064087301,-13.56,0.12,-25.89,1.07,0.4316,1.4661,1.1228,0.7821,5.1655,1.1028
O,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,400,C=CCCCCC,1.2,298.0,,,,,,6.044126072528744,6.194866938822454,-16.691463876238515,-28.756818354383967,-0.03016338619536363,41.72413756186308,65.15231458320542,67.0652172364067,3.903478676821493,0.6221175566796485,-19.93,0.27,-30.28,1.99,2.0778,2.5882,0.6562,1.3808,10.5912,1.7225
O,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,400,C=CCCCCC,1.2,400.0,,,,,,2.5205811093619226,2.671321975655632,-16.691463876238515,-28.756818354383967,-0.03016338619536363,41.72413756186308,65.15231458320542,67.0652172364067,0.37993371365467077,0.6221175566796485,-19.93,0.27,-30.28,1.99,2.0778,2.5882,0.6562,1.3808,10.5912,1.7225
C=CCCCCC,C(CO)O,350,CO,0.5,298.0,,,,The input solvent is not supported by method 2,,-2.2702621907780065,,,,,15.336225866869524,17.706719082238063,24.258379840898826,-3.029446614483978,0.37510434558206884,-3.91,0.04,-8.37,0.50,0.4014,0.8651,0.5890,0.7948,2.5668,0.5078
CC(=O)O,C(CCC(=O)O)CC(=O)O,300,O,0.3,300.0,,,,,,0.49524109752187195,0.49551418587558393,-13.47746288156238,-25.754818474016353,-0.04092451864151325,32.22328984166034,43.0029395083482,50.269683187180256,0.46427048732435594,0.6448810361218112,-13.56,0.12,-25.89,1.07,0.4316,1.4661,1.1228,0.7821,5.1655,1.1028
CC(=O)O,C(CCC(=O)O)CC(=O)O,500,O,0.3,300.0,,,,,,2.3410894652938494,3.141774770745191,-7.447703176272536,-23.948477356035017,-0.03300154835952496,32.22328984166034,43.0029395083482,50.269683187180256,0.46427048732435594,0.6448810361218112,-13.56,0.12,-25.89,1.07,0.4316,1.4661,1.1228,0.7821,5.1655,1.1028
CC(=O)O,C(CCC(=O)O)CC(=O)O,500,O,0.3,300.0,31.9,,,,,2.246896490522863,3.0475817959741995,-7.447703176272536,-23.948477356035017,-0.03300154835952496,,43.0029395083482,50.269683187180256,0.4658509063641372,0.6448810361218112,-13.56,0.12,-25.89,1.07,0.4316,1.4661,1.1228,0.7821,5.1655,1.1028
